National Center for Education Statistics,,,,,,,,,,,,,,,,
"CCD public school district data 2018-2019, 2019-2020 school years",,,,,,,,,,,,,,,,
The file contains (204) records based on your search.,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
* denotes a column with data from 2019-2020,,,,,,,,,,,,,,,,
"[ † ] indicates that the data are not applicable. For example, the enrollment and staff characteristics for districts that opened in the 2019-2020 school year will not be available until the full 2019-2020 file is released.",,,,,,,,,,,,,,,,
[ – ] indicates that the data are missing.,,,,,,,,,,,,,,,,
[ ‡ ] indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,
"The directory information on district name, address, and phone number are preliminary data from initial submissions of district level data for 2019-2020.",,,,,,,,,,,,,,,,
Data provided on student membership and staffing are from the official district level data for 2018-2019.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"SEARCH CRITERIA: State: ""Connecticut"" - School Description: ""regular, component, supervisory union, regional, state, federal, charter, other""",,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. To download full CCD datasets, please go to the CCD homepage. http://nces.ed.gov/ccd",,,,,,,,,,,,,,,,
NCES District ID,State District ID,District Name,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Students*,Teachers*,Schools,Locale Code*,Locale*,Student Teacher Ratio*,Type
0900208,CT-2850013,Achievement First Bridgeport Academy District,Fairfield County,370 James Street,New Haven,CT,06513,,(203)333-9128,1093.00000,66.50000,1.00000,12,City: Midsize,16.40000000,Other Education Agency
0900212,CT-2880013,Achievement First Hartford Academy District,Hartford County,370 James Street,New Haven,CT,06513,,(860)695-5280,1112.00000,95.25000,1.00000,12,City: Midsize,11.70000000,Other Education Agency
0900024,CT-2790013,Amistad Academy District,New Haven County,370 James Street,New Haven,CT,06513,,(203)772-7000,1083.00000,124.00000,1.00000,12,City: Midsize,8.70000000,Other Education Agency
0900030,CT-0010011,Andover School District,Tolland County,35 School Road,Andover,CT,06232,,(860)742-7339,191.00000,20.90000,1.00000,41,Rural: Fringe,9.10000000,Regular School District
0900060,CT-0020011,Ansonia School District,New Haven County,42 Grove Street,Ansonia,CT,06401,,(203)736-5095,2305.00000,150.30000,4.00000,21,Suburb: Large,15.30000000,Regular School District
0900070,CT-2440014,Area Cooperative Educational Services,New Haven County,350 State Street,North Haven,CT,06473,,(203)498-6817,1874.00000,198.35000,2.00000,21,Suburb: Large,9.40000000,
0900090,CT-0030011,Ashford School District,Windham County,440 Westford Rd.,Ashford,CT,06278,,(860)429-1927,409.00000,41.00000,1.00000,42,Rural: Distant,10.00000000,Regular School District
0900120,CT-0040011,Avon School District,Hartford County,34 Simsbury Road,Avon,CT,06001,,(860)404-4700,3138.00000,237.40000,5.00000,21,Suburb: Large,13.20000000,Regular School District
0900150,CT-0050011,Barkhamsted School District,Litchfield County,65 Ripley Hill Road,Barkhamsted,CT,06063,,(860)738-4016,226.00000,17.40000,1.00000,41,Rural: Fringe,13.00000000,Regular School District
0900210,CT-0070011,Berlin School District,Hartford County,238 Kensington Road,Berlin,CT,06037,,(860)828-6581,2787.00000,227.30000,5.00000,21,Suburb: Large,12.30000000,Regular School District
0900240,CT-0080011,Bethany School District,New Haven County,44 Peck Road,Bethany,CT,06524,,(203)393-1170,364.00000,31.80000,1.00000,41,Rural: Fringe,11.40000000,Regular School District
0900270,CT-0090011,Bethel School District,Fairfield County,Box 253,Bethel,CT,06801,,(203)794-8601,3102.00000,232.06000,5.00000,22,Suburb: Midsize,13.40000000,Regular School District
0900330,CT-0110011,Bloomfield School District,Hartford County,1133 Blue Hills Avenue,Bloomfield,CT,06002,,(860)769-4200,2171.00000,192.19000,8.00000,21,Suburb: Large,11.30000000,Regular School District
0900360,CT-0120011,Bolton School District,Tolland County,72 Brandy Street,Bolton,CT,06043,,(860)643-1569,781.00000,72.80000,2.00000,41,Rural: Fringe,10.70000000,Regular School District
0900217,CT-2950013,Booker T. Washington Academy District,New Haven County,804 State Street,New Haven,CT,06511,,(203)691-6535,360.00000,25.00000,1.00000,12,City: Midsize,14.40000000,Other Education Agency
0900390,CT-0130011,Bozrah School District,New London County,P.O. Box 185,Bozrah,CT,06334,0185,(860)887-2561,201.00000,20.20000,1.00000,41,Rural: Fringe,10.00000000,Regular School District
0900420,CT-0140011,Branford School District,New Haven County,1111 Main Street,Branford,CT,06405,,(203)488-7276,2850.00000,244.30000,5.00000,21,Suburb: Large,11.70000000,Regular School District
0900215,CT-2900013,Brass City Charter School District,New Haven County,289 Willow St.,Waterbury,CT,06710,,(203)527-5942,287.00000,25.90000,1.00000,22,Suburb: Midsize,11.10000000,Other Education Agency
0900450,CT-0150011,Bridgeport School District,Fairfield County,45 Lyon Terrace,Bridgeport,CT,06604,,(203)275-1037,20396.00000,1400.30000,36.00000,12,City: Midsize,14.60000000,Regular School District
0900510,CT-0170011,Bristol School District,Hartford County,129 Church Street,Bristol,CT,06011,,(860)584-7000,7836.00000,540.10000,13.00000,21,Suburb: Large,14.50000000,Regular School District
0900540,CT-0180011,Brookfield School District,Fairfield County,100 Pocono Road,Brookfield,CT,06804,,(203)775-7700,2619.00000,199.50000,4.00000,22,Suburb: Midsize,13.10000000,Regular School District
0900570,CT-0190011,Brooklyn School District,Windham County,119 Gorman Road,Brooklyn,CT,06234,,(860)774-9732,910.00000,64.70000,2.00000,41,Rural: Fringe,14.10000000,Regular School District
0900630,CT-0210011,Canaan School District,Litchfield County,246 Warren Turnpike Road,Falls Village,CT,06031,,(860)824-7791,63.00000,11.50000,1.00000,42,Rural: Distant,5.50000000,Regular School District
0900660,CT-0220011,Canterbury School District,Windham County,45 Westminster Road,Canterbury,CT,06331,,(860)546-6950,465.00000,40.50000,2.00000,41,Rural: Fringe,11.50000000,Regular School District
0900690,CT-0230011,Canton School District,Hartford County,4 Market Street,Collinsville,CT,06022,,(860)693-7704,1550.00000,117.67000,4.00000,21,Suburb: Large,13.20000000,Regular School District
0900221,CT-2970013,Capital Preparatory Harbor School District,Fairfield County,777 Main St.,Bridgeport,CT,06604,,(475)422-5900,634.00000,20.00000,1.00000,12,City: Midsize,31.70000000,Other Education Agency
0900700,CT-2410014,Capitol Region Education Council,Hartford County,111 Charter Oak Avenue,Hartford,CT,06106,,(860)524-4063,8672.00000,729.66000,16.00000,21,Suburb: Large,11.90000000,
0900720,CT-0240011,Chaplin School District,Windham County,Box 277,Chaplin,CT,06235,,(860)455-9306,154.00000,15.70000,1.00000,41,Rural: Fringe,9.80000000,Regular School District
0900750,CT-0250011,Cheshire School District,New Haven County,29 Main Street,Cheshire,CT,06410,,(203)250-2400,4270.00000,320.92000,7.00000,21,Suburb: Large,13.30000000,Regular School District
0900780,CT-0260011,Chester School District,Middlesex County,Box 187,Deep River,CT,06417,,(860)526-2417,194.00000,21.50000,1.00000,21,Suburb: Large,9.00000000,Regular School District
0900810,CT-0270011,Clinton School District,Middlesex County,137 B Glenwood Road,Clinton,CT,06413,,(860)664-6500,1743.00000,156.29000,3.00000,21,Suburb: Large,11.20000000,Regular School District
0900840,CT-0280011,Colchester School District,New London County,127 Norwich Avenue,Colchester,CT,06415,,(860)537-7267,2309.00000,190.47000,4.00000,31,Town: Fringe,12.10000000,Regular School District
0900870,CT-0290011,Colebrook School District,Litchfield County,Box 9,Colebrook,CT,06021,,(860)379-2179,84.00000,9.40000,1.00000,42,Rural: Distant,8.90000000,Regular School District
0900900,CT-0300011,Columbia School District,Tolland County,PO Box 166,Columbia,CT,06237,,(860)228-9493,433.00000,38.90000,1.00000,42,Rural: Distant,11.10000000,Regular School District
0900014,CT-2680013,Common Ground High School District,New Haven County,358 Springside Ave.,New Haven,CT,06515,,(203)389-0823,216.00000,21.00000,1.00000,12,City: Midsize,10.30000000,Other Education Agency
0900002,CT-9000016,Connecticut Technical Education and Career System,Middlesex County,39 Woodland Street,Hartford,CT,06105,,(860)807-2200,10645.00000,1014.91000,17.00000,21,Suburb: Large,10.50000000,State District
0900910,CT-2430014,Cooperative Educational Services,Fairfield County,40 Lindeman Drive,Trumbull,CT,06611,,(203)365-8803,839.00000,112.70000,1.00000,12,City: Midsize,7.40000000,
0900930,CT-0310011,Cornwall School District,Litchfield County,246 Warren Turnpike Road,Falls Village,CT,06031,,(860)672-6617,91.00000,14.50000,1.00000,42,Rural: Distant,6.30000000,Regular School District
0900960,CT-0320011,Coventry School District,Tolland County,1700 Main Street,Coventry,CT,06238,,(860)742-7317,1641.00000,144.70000,4.00000,41,Rural: Fringe,11.30000000,Regular School District
0900990,CT-0330011,Cromwell School District,Middlesex County,9 Captain James Mann Memorial Drive,Cromwell,CT,06416,,(860)632-4830,1932.00000,156.60000,4.00000,21,Suburb: Large,12.30000000,Regular School District
0901020,CT-0340011,Danbury School District,Fairfield County,63 Beaver Brook Road,Danbury,CT,06810,,(203)797-4701,11507.00000,800.55000,18.00000,13,City: Small,14.40000000,Regular School District
0901050,CT-0350011,Darien School District,Fairfield County,Box 1167,Darien,CT,06820,,(203)656-7400,4740.00000,414.30000,7.00000,21,Suburb: Large,11.40000000,Regular School District
0901080,CT-0360011,Deep River School District,Middlesex County,Box 187,Deep River,CT,06417,,(860)526-2417,242.00000,25.80000,1.00000,21,Suburb: Large,9.40000000,Regular School District
0900027,CT-3370015,Department of Mental Health and Addiction Services,Hartford County,Box 341431,Hartford,CT,06134,,(860)262-7009,1.00000,1.00000,0.00000,12,City: Midsize,1.00000000,State District
0900026,CT-3320015,Department of Social Services,Hartford County,25 Sigourney Street,Hartford,CT,06106,,(860)424-5129,†,†,0.00000,12,City: Midsize,†,State District
